field	field_raw	n_studies	n_samples	n_nonempty_values	n_unique_values	example_values
submission_date	submission_date	22	654	654	25	May 10 2023; May 11 2023; Sep 18 2008; Sep 19 2008; Sep 25 2008; [+20 additional value(s)]
taxid_ch1	taxid_ch1	22	654	654	1	9606
title	title	22	654	654	642	SMG7KO tumor_657; SMG7KO tumor_658; RESCUE tumor_904; RESCUE tumor_921; HT1080 tumor_674; [+637 additional value(s)]
type	type	22	654	654	3	SRA; genomic; RNA
source_name_ch1	source_name_ch1	22	648	648	60	xenograft subcutaneous tumor; HT1080; HT1080_SMG7KO_11; HT1080_SMG7KO_12; Gastric cancer cell line; [+55 additional value(s)]
data_row_count	data_row_count	22	638	638	7	0; 45214; 45015; 54675; 13737; [+2 additional value(s)]
series_id	series_id	18	565	565	18	GSE232185; GSE232333; GSE12928; GSE30499; GSE305669; [+13 additional value(s)]
data_processing1	data_processing1	18	433	433	22	Reads were mapped to a combined reference genome containing hg38 and mm10 with STAR v2.7.2b and the argument twopassMode Basic.; Read mapping with STAR 2.7.8a to the full human genome GRCh38.10.9, annotation-agnostic; Image analysis was performed using feature extraction software version 9.5 (Agilent Technologies). The Agilent GE2-v5_95 protocol was applied using default settings.; Raw data (raw reads) of fastq format were firstly processed through in-house perlscripts. In this step, clean data (clean reads) were obtained by removing reads containing adapter, reads containing ploy-N and low quality reads from raw data. At the same time, Q20, Q30 and GC content the clean data were calculated. All the downstream analyses were based on the clean data with high quality; Raw FASTQ files were first preprocessed with fastp v0.23.4 to remove any paired-end reads shorter than 150 base pairs. The remaining reads were then aligned to the human reference genome GRCh38 using STAR v2.7.11b. During alignment, we incorporated the comprehensive Gencode v47 annotation and applied the parameters --twopassMode Basic and --alignEndsType EndToEnd to optimize mapping quality. Finally, the aligned reads were analyzed with rMATS v4.3.0 (using default parameters) to quantify event-based percent spliced in (PSI) values.; [+17 additional value(s)]
data_processing2	data_processing2	18	433	433	22	Counts per gene were generated with featureCounts v1.6.4 with arguments -t exon and -g gene_id; Read counting with featureCounts (Subread package) 2.0.1 on Ensembl GRCh38 release 109. Reverse strand (-s 2), multi-mapping allowed (-M), fractional assignment (--fraction); All data pre-processing and analysis was performed using the R-Bioconductor package Limma20. A robust Edwards background correction was applied; Reference genome and gene model annotation files were downloaded from genome website directly. Index of the reference genome was built using Hisat2 v2.0.5 and paired-end clean reads were aligned to the reference genome using Hisat2 v2.0.5. We selected Hisat2 as the mapping tool for that Hisat2 can generate a database of splice junctions based on the gene model annotation file and thus a better mapping result than other non-splice mapping tools.; Assembly: hg38; [+17 additional value(s)]
contact_email	contact_email	17	566	566	14	oliver.muehlemann@unibe.ch; d.sie@vumc.nl; zavadilj@iarc.fr; liangjl0825@gmail.com; yurij.ionov@roswellpark.org; [+9 additional value(s)]
cell_line	cell.line	17	537	537	35	HT1080_SMG7KO; HT1080_RESCUE; HT1080; HT1080_SMG7KO_11; HT1080_SMG7KO_12; [+30 additional value(s)]
treatment_protocol_ch1	treatment_protocol_ch1	17	436	436	30	Two million cells were inyected subcutaneously into one flank of NOD scid gamma (NSG) mice. When tumors reached a volume of 1500 mm3, or when mice had to be sacrificed because of their health conditions, tumors were extracted and snap frozen.; Cells were treated with the specific stresses for three hours, and then with the pol II elongation inhibitor DRB. RNA was collected at 0 hrs or the indicated time points after DRB addition.; Caffeine (10mM ) was added to tissue culture medium to inhibit NMD. Actinomycin (2mkg/ml) was added to inhibit transcription; Once cells reached 70–80% confluence, the medium was replaced with fresh medium containing either 0.1% DMSO or one of the following inhibitors at the indicated concentrations: Pladienolide B (100 nM), Sapanisertib (100 nM), Torin-2 (300 nM), or hSMG-1 inhibitor 11j (300 nM). After 24 hours, cells were washed with ice-cold PBS, scraped into ice-cold PBS, and centrifuged at 300 × g for 5 minutes. The supernatant was discarded, and the cell pellets were flash-frozen in a dry ice–ethanol bath before storage at –80°C until RNA extraction.; The samples were not treated.; [+25 additional value(s)]
relation1	relation1	17	428	428	421	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN35026476; BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN35026475; BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN35026474; BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN35026473; BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN35026472; [+416 additional value(s)]
relation2	relation2	17	428	428	421	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20278086; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20278087; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20278088; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20278089; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20278090; [+416 additional value(s)]
growth_protocol_ch1	growth_protocol_ch1	16	545	545	19	HT1080, SMG7KO and RESCUE cells were maintained in DMEM supplemented with 10% fetal calf serum (FCS) and antibiotics in humidified atmosphere with 5% CO2 at 37 °C; HT1080 and SMG7KO cells were maintained in DMEM supplemented with 10% fetal calf serum (FCS) and antibiotics in humidified atmosphere with 5% CO2 at 37 °C; U2OS cells (osteosarcoma) were grown in DMEM (4.5 g/dl glucose) with 10% FCS.; Cells were grown in the RPMI medium complemented with 10% fetal bovine and antibiotics; Cells were cultured in MEM supplemented with 10% FBS, penicillin and streptomycin, and incubated at 37° C with 5% CO2.; [+14 additional value(s)]
contact_department	contact_department	16	434	434	11	Biology, Molecular Health Sciences; Chemistry, Biochemistry and Pharmaceutical Sciences; Pathology; Cancer Genetics; Genetics; [+6 additional value(s)]
data_processing3	data_processing3	16	420	420	18	Assembly: hg38, mm10; Assembly: GRCh38.10.9; featureCounts v1.5.0-p3 was used to count the reads numbers mapped to each gene. And then FPKM of each gene was calculated based on the length of the gene and reads count mapped to this gene. FPKM, expected number of Fragments Per Kilobase of transcript sequence per Millions base pairs sequenced, considers the effect of sequencing depth and gene length for the reads count at the same time, and is currently the most commonly used method for estimating gene expression levels.; Supplementary files format and content: Gene expression raw count using RSEM; Genome_build: hg19; [+13 additional value(s)]
instrument_model	instrument_model	16	420	420	7	Illumina NovaSeq 6000; Illumina HiSeq 3000; Illumina NovaSeq X Plus; Illumina HiSeq 2000; Illumina HiSeq 4000; [+2 additional value(s)]
library_selection	library_selection	16	420	420	3	cDNA; other; size fractionation
library_source	library_source	16	420	420	1	transcriptomic
library_strategy	library_strategy	16	420	420	4	RNA-Seq; RIP-Seq; OTHER; ncRNA-Seq
contact_state	contact_state	15	525	525	11	Zürich; Other; Guangdong; NY; NC; [+6 additional value(s)]
data_processing4	data_processing4	15	382	382	16	Supplementary files format and content: count data for all samples against hg38 and mm10 Ensembl genes; Supplementary files format and content: Ensembl gene counts; Assembly: GRCh38; Supplementary_files_format_and_content: Tab-delimited text files include RPKM and fold expression change values; Differential gene expression was analysed using DESeq2 v1.14.1; [+11 additional value(s)]
description	description	15	373	373	273	657_KO; 658_KO; 904_RESCUE; 921_RESCUE; 674_WT; [+268 additional value(s)]
extract_protocol_ch11	extract_protocol_ch11	14	375	375	15	To extract total RNA from the tumor samples, the tissue was first lysed and homogenized by dual centrifugation at 2500 rpm, -5 °C for 4 minutes using the ZentriMix 380R (Hettich) and RNA was purified using the GeneElute™ Mammalian Total RNA Midiprep Kit (Sigma Aldrich) following the manufacturer’s instructions, including the in-column DNAse digestion step.; Total RNA from cells in culture was isolated using the guanidium thiocyanate-phenol-chloroform extraction protocol followed by isopropanol precipitation; RNA degradation and contamination was monitored on 1% agarose gels. RNA purity was checked using the NanoPhotometer®spectrophotometer (IMPLEN, CA, USA) . RNA concentration was measured using Qubit® RNA Assay Kit in Qubit®2.0Flurometer (Life Technologies, CA, USA). RNA integrity was assessed using the RNA Nano 6000 Assay Kit of theBioanalyzer 2100 system (Agilent Technologies, CA, USA).; Total RNA was extracted using the RNeasy Plus Mini Kit (Qiagen) according to the manufacturer’s instructions, with an additional in-column DNase I treatment (RNase-Free DNase Set, Qiagen). Total RNA was sent to Novogene (Sacramento, CA) for polyA selection and library preparation followed by Illumina sequencing (paired end, 150 cycles).; Qiagen RNeasy Mini RNA isolation kit; [+10 additional value(s)]
extract_protocol_ch12	extract_protocol_ch12	14	375	375	13	Libraries were prepared with the Illumina TruSeq Stranded Total RNA library kit, including rRNA depletion.; The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step; A total amount of 3 µg RNA per sample was used as input material for the RNA sample preparations. Sequencing libraries were generated using NEBNext® UltraTM RNA Library Prep Kit for Illumina® (NEB, USA) following manufacturer’s recommendations and index codes were added to attribute sequences to each sample. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads. Fragmentation was carried out using divalent cations under elevated temperaturein NEBNext First Strand Synthesis Reaction Buffer(5X). First strand cDNA wassynthesized using random hexamer primer and M-MuLV Reverse Transcriptase(RNase H-). Second strand cDNA synthesis was subsequentlyperformed using DNA Polymerase I and RNase H. Remaining overhangs wereconverted into blunt ends via exonuclease/polymerase activities. After adenylation of 3’ ends of DNA fragments, NEBNext Adaptor with hairpin loop structure wereligated to prepare for hybridization. In order to select cDNA fragments of preferentially 250~300 bp in length, the library fragments were purified with AMPure XP system (Beckman Coulter, Beverly, USA). Then 3 µl USER Enzyme (NEB, USA) was used with size-selected, adaptor-ligated cDNA at 37°C for 15 min followed by 5 min at 95 °C before PCR. Then PCR was performed with Phusion High-Fidelity DNA polymerase, Universal PCR primers and Index (X) Primer. At last, PCR products were purified (AMPure XP system) and library quality was assessed on the Agilent Bioanalyzer 2100 system.; PolyA selection. Performed by Novogene.; One μg of total RNA was used per sample for library preparation. Ribosomal RNA was depleted from total RNA with the Ribo-Zero rRNA Removal Kit (Epicentre), and purified RNA was then converted to cDNA with the TruSeq RNA Library Preparation Kit (Illumina).; [+8 additional value(s)]
data_processing5	data_processing5	11	294	294	11	Supplementary files format and content: gene_fpkm.1.txt; To stratify membrane-associated and non-membrane genes, gene expression in both fractions in control cells was compared by applying variant stabilised transformation of tpm using DESeq2 v1.14.1, averaged across replicates. Membrane-associated genes were defined as those >2-fold higher expression in membrane fraction than cytoplasmic fraction, all other genes were termed non-membrane.; Supplementary_files_format_and_content: kallisto output: tab-delimited text files for each sample with RPKM values for each gene.; Genome_build: hg19; 75th percentile normalization and log10 transformation on each sample RPKM dataset; [+6 additional value(s)]
contact_laboratory	contact_laboratory	9	300	300	8	Corn Lab; Mühlemann Lab; Microarray Core Facility; Dominguez Lab; Laboratory of Cancer Genetics; [+3 additional value(s)]
treatment	treatment	9	281	281	43	control; hypoxia; tunicamycin; emetine; shRent1; [+38 additional value(s)]
data_processing6	data_processing6	9	265	265	9	Supplementary files format and content: gene_fpkm.2.txt; Genome_build: hg38; Supplementary_files_format_and_content: Tab-delimited file contains log2 expression changes and FDRs for the indicated comparisons.; Supplementary_files_format_and_content: Tab-delimited file contains counts and normalized CPM values for all samples and log2 expression changes and statistics from limma/voom analysis of the indicated comparisons.; Genome_build: hg19; [+4 additional value(s)]
supplementary_file_1	supplementary_file_1	9	254	254	254	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7328nnn/GSM7328760/suppl/GSM7328760_HT1080_1_L7_R1_001_counts.tsv.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7328nnn/GSM7328761/suppl/GSM7328761_HT1080_2_L7_R1_001_counts.tsv.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7328nnn/GSM7328762/suppl/GSM7328762_HT1080_3_L7_R1_001_counts.tsv.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7328nnn/GSM7328763/suppl/GSM7328763_7KO_11_1_L7_R1_001_counts.tsv.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7328nnn/GSM7328764/suppl/GSM7328764_7KO_11_2_L7_R1_001_counts.tsv.gz; [+249 additional value(s)]
cell_type	cell.type	9	173	173	9	fibrosarcoma; osteosarcoma cells; nasopharyngeal carcinoma cell; lymphoblastoid cell line; immortalised myelogenous leukemia cell line; [+4 additional value(s)]
extract_protocol_ch1	extract_protocol_ch1	8	279	279	13	Genomic DNA was isolated using TRIzol reagent (Invitrogen) according to the manufacturer’s protocol with some modifications (http://www.english.vumc.nl/afdelingen/microarrays/).; Total RNA was extracted from each cell line using the RNeasy kit (Qiagen) including a DNase digestion step, according to the manufacturer’s instructions; Trizol was used to extract total cellular RNA according to the manufacturer's protocol, and the RNA was amplified and converted into cDNA using the ABI cDNA kit.; Trizol extraction of total RNA was performed according to the manufacturer's instructions.; Total RNA was extracted from cells with Trizol according to the manufacturer’s instructions (Invitrogen, Carlsbad, CA, USA). RNA yields were quantified using an ND-1000 spectrophotometer (Nanodrop Technologies, Wilmington, DE, USA).; [+8 additional value(s)]
contact_phone	contact_phone	8	276	276	8	+31 20 4442428; +33648065733; 17796003530; (716)8459535; 9196678689; [+3 additional value(s)]
hyb_protocol	hyb_protocol	6	234	234	8	Hybridization protocol available via www.agilent.com; 825ng of Cy3 and Cy5 labeled cRNA were hybridized for 16 hrs at 65 C (hybridization oven G2545A, Agilent), according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent).; Labeled and fragmented cRNA was hybridized to HG-U133 Plus 2.0 Affymetrix GeneChips using standard techniques recommended by the manufacturer.; Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix Human Genome U133 Plus 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.; Labeled and purified RNA was dried down in speedvac (1h +45C). RNA was resuspended in 18 ul of H2O. 4.5ul of 10x Blocking agent and 22.5 ul 2x Hybrdization buffer was added. The hybridization assembly was mounted and the arrays were hybridized for 20h at +55C.; [+3 additional value(s)]
label_ch1	label_ch1	6	234	234	4	Cy3; biotin; Cy5; Biotin
label_protocol_ch1	label_protocol_ch1	6	234	234	9	DNA labeling protocol according to Enzo Life Sciences; 500 ng of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).; 500 ng of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to cRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).; Labeled target cRNA population was generated with the Affymetrix 3’-IVT Express kit.; Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).; [+4 additional value(s)]
scan_protocol	scan_protocol	6	234	234	8	Slides were scanned using the Agilent microarray scanner, protocol according to Agilent.; Arrays were scanned at on an Agilent DNA Microarray Scanner using the default settings for 4x44k format two-color arrays.; Affymetrix 7G GeneArray scanner.; GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.; The scanned images were analyzed with Feature Extraction Software 9.5.1. (Agilent Technologies) using default parameters to obtain background subtracted and spatially detrended Processed Signal intensities. Outliers were excluded.; [+3 additional value(s)]
data_processing	data_processing	6	221	221	7	For both Cy3 and Cy5 channels, local background was subtracted from the median intensities. The log2 tumour to normal ratio was calculated for each spot and normalized against the median of the ratios of all autosomes; Image analysis was performed using feature extraction software version 9.5 (Agilent Technologies). The Agilent GE2-v5_95 protocol was applied using default settings. All data pre-processing and analysis was performed using the R-Bioconductor package Limma20. A robust Edwards background correction was applied; Feature intensity was extracted by GeneChip Operating System as CEL files. The probe-level analysis of the CEL files was performed by the RMA algorithm using the Agilent Genespring GX11 program. No further adjustments were made to the data in the table.; Convolution background correction, quantile normalization and a summarization of probe intensity were processed using an adaptation of the Robust Multi-Chip Average (gcRMA). To compute GCRMA expression values, we used a gcrma function of the Bioconductor package, publicly available at the www.bioconductor.org.; For data analysis, low quality samples and non-expressed miRNAs were first removed. Inside every family the directional distance of healthy individuals from patients was calculated. The distance used here was based on Kendal’s tau (distance = (1-tau)/2) and the distance between clusters was computed using Ward’s method. By decomposing Kendal’s tau into each miRNA’s contribution the distance induced by every miRNA can be quantified separately. The direction of this distance inside every family is marked positive if the average rank miRNA expression for patients is higher than for healthy individuals and negative if the average rank miRNA expression for healthy individuals is higher than for patients. The overall directional distance for every miRNA is obtained by summing up these directional distances over all families. Then the permutation p-value was computed by permuting healthy individuals and patients randomly inside every family, computing the overall directional distance, repeating this many times and the final permutation p-value is the proportion of these permuted distances higher or lower than the original distance. The analysis was not performed on probe level, but on miRNA level with the help of ranks and gTotalGeneSignal.; [+2 additional value(s)]
genotype	genotype	5	225	225	11	SMG7KO; SMG7KO + SMG7 RESCUE; WT; NC; UPF1 overexpressing HK1 cells; [+6 additional value(s)]
data_processing7	data_processing7	5	151	151	5	Supplementary_files_format_and_content: HTSeq-count output: tab-delimited text files for each sample with RPKM values for each gene.; Supplementary_files_format_and_content: tab-delimited text files listing Refseq IDs, raw read counts, RPKM values; Supplementary files format and content: UPF1_sleuth.csv; Supplementary_files_format_and_content: tab-delimited text files include FPKM values for each Sample; Supplementary_files_format_and_content: bedgraph
supplementary_file	supplementary_file	5	89	89	89	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM322nnn/GSM322560/suppl/GSM322560.txt.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM324nnn/GSM324257/suppl/GSM324257.txt.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM324nnn/GSM324258/suppl/GSM324258.txt.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM324nnn/GSM324259/suppl/GSM324259.txt.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM324nnn/GSM324260/suppl/GSM324260.txt.gz; [+84 additional value(s)]
description1	description1	4	141	141	38	GP202_aCGH; IPA220_aCGH; Library name: sample1; Library name: sample2; Library name: sample3; [+33 additional value(s)]
description2	description2	4	141	141	21	protocols according to manufacturer (Enzo Life Sciences www.agilent.com); protocols according to manufacturer (Enzo Life Sciences, www.agilent.com); gene_fpkm.1.txt; gene_fpkm.2.txt; HeLa_siEIF4A3_5_differential_methylation.bed; [+16 additional value(s)]
tissue	tissue	4	101	101	5	xenograft subcutaneous tumor; nasopharyngeal carcinoma; Kidney; Uterus; Liver
series_id1	series_id1	4	89	89	5	GSE24201; GSE24204; GSE152436; GSE152435; GSE204985
series_id2	series_id2	4	89	89	3	GSE24205; GSE152437; GSE204987
gender	gender	2	172	172	2	male; Female
agent	agent	2	155	155	4	Caffeine; Untreated; vehicle control; 1 microM thapsigargin
sirna	sirna	2	60	60	6	treated with non-specific (NS) siRNA; treated with hnRNP L siRNA; treated with UPF1 siRNA; treated with hnRNP L and UPF1 siRNAs; non-targeting siRNA; [+1 additional value(s)]
knockdown	knockdown	2	39	39	9	si-scr control; si-UPF1; siNBAS; siUPF2; siScr control; [+4 additional value(s)]
extract_protocol_ch2	extract_protocol_ch2	2	26	26	3	DNAzol (Invitrogen) according to manufacturer's protocol; Total RNA was extracted from each cell line using the RNeasy kit (Qiagen) including a DNase digestion step, according to the manufacturer’s instructions; Total RNA was extracted from treated and untreated cells with Trizol according to the manufacturer’s instructions (Invitrogen, Carlsbad, CA, USA). RNA yields were quantified using an ND-1000 spectrophotometer (Nanodrop Technologies, Wilmington, DE, USA).
label_ch2	label_ch2	2	26	26	2	Cy5; Cy3
label_protocol_ch2	label_protocol_ch2	2	26	26	3	DNA labeling protocol according to Enzo Life Sciences; 500 ng of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to cRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).; Twenty micrograms of total RNA were used to generate fluorescent Cy-3-labeled cRNA (control cells) and Cy-5-labeled cRNA (treated cells) using an Agilent Fluorescent Direct Label Kit. Labeled RNAs were pooled and hybridized to the Agilent 44K Whole Human Genome Oligonucleotide Microarrays (Agilent Technologies).
molecule_ch2	molecule_ch2	2	26	26	2	genomic DNA; total RNA
organism_ch2	organism_ch2	2	26	26	1	Homo sapiens
source_name_ch2	source_name_ch2	2	26	26	4	Pooled DNA from the blood of 18 normal individuals; Gastric cell line treated with control siRNA; Gastric cell line treated with siRNA UPF-1; blood
taxid_ch2	taxid_ch2	2	26	26	1	9606
contact_fax	contact_fax	2	16	16	2	9716)8451698; 716-845-3940
breast_cancer	breast.cancer	1	143	143	2	Affected; Unaffected
family	family	1	143	143	3	A; B; C
input_or_ip	input.or.ip	1	102	102	2	input; m6A-IP
supplementary_file_2	supplementary_file_2	1	66	66	66	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4946nnn/GSM4946396/suppl/GSM4946396_2019.9.17.1.IN.R.bedgraph.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4946nnn/GSM4946397/suppl/GSM4946397_2019.9.17.2.IN.R.bedgraph.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4946nnn/GSM4946398/suppl/GSM4946398_2019.9.17.3.IN.R.bedgraph.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4946nnn/GSM4946399/suppl/GSM4946399_2019.9.17.4.IN.R.bedgraph.gz; ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4946nnn/GSM4946400/suppl/GSM4946400_2019.9.17.5.IN.R.bedgraph.gz; [+61 additional value(s)]
cancer_status	cancer.status	1	41	41	2	Healthy; Prostate cancer patient
individual	individual	1	41	41	31	healthy1_family1; cancer1_family1; healthy2_family1; cancer1_family15; healthy1_family15; [+26 additional value(s)]
transient_transfection	transient.transfection	1	36	36	11	siGL2 and siXRN1; siSMG6 and siXRN1; siUPF1 and siXRN1; TCRβ68U_wt; TCRβ68U_Fav1; [+6 additional value(s)]
library_strategy	library.strategy	1	30	30	3	PARE; C-PARE; SPARE
rna_fraction	rna.fraction	1	24	24	2	cytoplasm; membrane
gleason_score	gleason.score	1	20	20	3	n.a.; 6; 7
sampling_time_point	sampling.time.point	1	20	20	4	0 hr; 1.5 hrs; 3 hrs; 4.5 hrs
stably_transfected_reporter	stably.transfected.reporter	1	20	20	1	TCRβ68
treatment_duration	treatment.duration	1	20	20	1	3 hrs
genotype_variation	genotype.variation	1	15	15	3	Expressing CLIP-UPF1_isoform_1; Expressing CLIP-UPF1_isoform_2; Expressing GFP
characteristics_ch2	characteristics_ch2	1	14	14	3	Pooled DNA from the blood of 18 normal individuals; Gastric cell line treated with control siRNA; Gastric cell line treated with siRNA UPF-1
diagnosis_age	diagnosis.age	1	14	14	14	71y 8m; 53y 7m; 50y 9m; 70y 7m; 75y 5m; [+9 additional value(s)]
characteristics_ch21	characteristics_ch21	1	12	12	2	cancer status: Prostate cancer patient; cancer status: Healthy
characteristics_ch22	characteristics_ch22	1	12	12	4	gleason score: n.a.; treatment: control treated with Actinomycin D; gleason score: 6; gleason score: 7
characteristics_ch23	characteristics_ch23	1	12	12	2	treatment: control treated with Actinomycin D; cell type: lymphoblastoid cell line
characteristics_ch24	characteristics_ch24	1	12	12	7	cell type: lymphoblastoid cell line; individual: healthy1_family15; individual: healthy1_family43; individual: healthy1_family232; individual: healthy2_family232; [+2 additional value(s)]
growth_protocol_ch2	growth_protocol_ch2	1	12	12	1	The cell lines were derived by Epstein-Barr virus transformation of peripheral mononuclear leukocytes from patients and their healthy brothers. Lymphoblastoid cell lines were grown in RPMI-1640 medium (Lonza, Walkersville, MD, USA) supplemented with 10% fetal bovine serum (Sigma-Aldrich, St. Louis, MO, USA) and antibiotics.
treatment_protocol_ch2	treatment_protocol_ch2	1	12	12	1	The emetine treatment protocol was described previously by Ionov et al. (Oncogene 2004;23:639-645). Briefly, for each cell line, we treated half of the subconfluent cells with 100 μg/ml of emetine dihydrochloride hydrate (Fluka, Buchs, Switzerland) and the rest were used as untreated controls. Both the treated and untreated cells were incubated for 10 h at 37°C. After this, actinomycin D (Sigma-Aldrich) was added to the treated and untreated cells, and they were incubated for 4 h at 37°C. Cells were collected and pellets were snap-frozen.
data_processing8	data_processing8	1	9	9	1	Supplementary files format and content: UPF1_suppa2.csv
biomaterial_provider_ch1	biomaterial_provider_ch1	1	8	8	1	ATCC
morphology	morphology	1	8	8	2	Epithelial; epithelial-like
treatment_protocol	treatment.protocol	1	8	8	4	untreated (control); treated with caffeine; treated with both caffeine and actinomycin D after treatment with caffeine; treated with actinomycin D alone after treatment with caffeine
host	host	1	7	7	1	NOD scid gamma (NSG) mice
characteristics_ch25	characteristics_ch25	1	6	6	6	individual: cancer1_family15; individual: cancer1_family43; individual: cancer1_family232; individual: cancer2_family232; individual: cancer1_family248; [+1 additional value(s)]
molecule_subtype	molecule.subtype	1	6	6	1	Affinity-purified RNA
relation3	relation3	1	6	6	6	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3557758; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3557759; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3557760; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3557764; SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3557765; [+1 additional value(s)]
treatment_protocol_ch11	treatment_protocol_ch11	1	6	6	2	10 mM Caffeine in media (treatment for 4 hours); 100ug/mL emetine in media (treatment for 8 hours)
